EmployeeID,Name,Department,Gender,Age,Salary,PerformanceScore,JoinDate
4174,Emp_0,Finance,Female,50,40000,Good,
4507,Emp_1,Sales,female,45,50000,G00d,3/15/2017
1860,Emp_2,Engineering,female,999,50000,Excellent,1/1/2015
2294,Emp_3,Finance,Male,999,-10000,Excellent,
2130,Emp_4,Engineering,Female,25,,Excellnt,1/1/2015
2095,Emp_5,Finance,Male,,,Excellnt,3/15/2017
4772,Emp_6,HR,female,50,40000,Poor,3/15/2017
4092,Emp_7,Engineering,male,,60000,G00d,3/15/2017
2638,Emp_8,Sales,F,30,50000,Excellent,1/2/2016
3169,Emp_9,Sales,Male,40,50000,Excellent,3/15/2017
1466,Emp_10,Marketing,male,25,40000,Excellent,
2238,Emp_11,Finance,F,30,50000,Excellent,1/2/2016
1330,Emp_12,Engineering,M,30,40000,Average,1/1/2015
2482,Emp_13,Marketing,Male,50,-10000,G00d,
3135,Emp_14,Engineering,Male,35,,Good,
4444,Emp_15,Finance,M,35,60000,Good,1/1/2015
4171,Emp_16,Sales,M,,,Poor,1/2/2016
3919,Emp_17,HR,Male,25,,Average,
4735,Emp_18,Sales,M,35,-10000,Excellent,
1130,Emp_19,Marketing,Female,30,50000,Excellent,
2685,Emp_20,HR,F,35,60000,Excellnt,1/2/2016
4380,Emp_21,Marketing,F,45,50000,Excellnt,1/2/2016
1769,Emp_22,Finance,F,35,,Poor,1/2/2016
3391,Emp_23,HR,Female,30,40000,Excellent,
2515,Emp_24,Marketing,M,,,Poor,3/15/2017
4485,Emp_25,Finance,male,50,50000,Average,1/1/2015
3853,Emp_26,Sales,M,25,,Good,3/15/2017
3433,Emp_27,Finance,Male,40,40000,Excellent,1/2/2016
2215,Emp_28,Engineering,female,35,-10000,G00d,
1955,Emp_29,Finance,F,999,50000,Average,
3324,Emp_30,Finance,M,999,,Excellent,3/15/2017
2184,Emp_31,Engineering,male,,50000,G00d,3/15/2017
1459,Emp_32,Marketing,Male,30,-10000,Excellnt,1/1/2015
4385,Emp_33,Marketing,Female,40,,Poor,
1021,Emp_34,Finance,Female,40,,Excellnt,3/15/2017
3300,Emp_35,Engineering,male,45,50000,Good,1/1/2015
1747,Emp_36,Engineering,Male,40,50000,Excellnt,1/2/2016
3904,Emp_37,Sales,F,999,40000,Excellent,3/15/2017
4632,Emp_38,Marketing,M,50,-10000,G00d,1/2/2016
1474,Emp_39,HR,Male,30,40000,Excellnt,1/1/2015
2082,Emp_40,Marketing,Female,30,,Excellent,1/2/2016
3558,Emp_41,Marketing,male,35,50000,Good,
4753,Emp_42,Sales,male,35,,G00d,
3047,Emp_43,HR,M,35,,Excellnt,1/2/2016
4547,Emp_44,Sales,male,999,60000,Poor,
3747,Emp_45,HR,male,999,60000,Poor,1/1/2015
1975,Emp_46,Finance,Male,,,G00d,
2806,Emp_47,HR,F,999,50000,Poor,1/2/2016
1189,Emp_48,Sales,M,999,,Excellnt,1/2/2016
4005,Emp_49,Marketing,Male,999,60000,Excellnt,1/2/2016
3734,Emp_50,HR,F,999,50000,G00d,3/15/2017
4005,Emp_51,HR,Male,50,,Excellnt,1/2/2016
1562,Emp_52,Engineering,female,999,-10000,Excellent,1/1/2015
2899,Emp_53,Marketing,Male,,-10000,Good,
4638,Emp_54,Finance,male,40,,Poor,
