TransactionID,Store,Category,Date,Quantity,UnitPrice,Revenue
43910,STORE_B,Home,21/06/2019,3,,100
40226,Store C,Eletronics,4/7/2020,,10,200
83150,STORE_B,Eletronics,4/10/2020,5,,
69099,Store C,Eletronics,20/02/2020,2,20,
96760,Store C,Home,1/31/2019,-2,20,-50
28013,Store_B,Home,2/24/2019,10,100,500
31446,Store_A,Home,6/2/2019,3,20,200
80375,Store C,Groceries,3/31/2020,5,20,100
72509,store_a,Clothing,10/13/2019,5,,500
10557,store_a,Electronics,2/5/2019,1,,100
40666,store_a,Home,28/03/2019,2,10,500
47389,Store_A,Clothing,9/13/2019,5,10,500
57700,Store C,Home,6/27/2019,1,20,
34578,STORE_B,Electronics,30/06/2020,3,-5,-50
84779,STORE_B,Home,5/22/2020,5,50,-50
19596,Store_B,Clothing,1/21/2019,,10,100
67500,Store_A,Groceries,3/16/2019,,20,200
82534,Store C,Electronics,12/19/2020,1,-5,-50
20129,store_a,Clothing,4/4/2020,,-5,200
73394,Store_A,Eletronics,15/04/2020,2,,100
76046,Store_A,Eletronics,5/11/2020,10,-5,200
21596,Store C,Eletronics,26/11/2019,,100,500
75355,Store_B,Groceries,17/02/2020,3,,500
22974,Store_B,Home,9/21/2020,5,,100
76673,Store_B,Home,1/1/2019,1,100,200
80202,store_a,Home,24/07/2019,5,,200
84442,store_a,Groceries,11/7/2019,10,10,100
31818,Store C,Eletronics,15/05/2020,5,,-50
53246,Store_B,Home,22/03/2020,5,100,
65598,Store C,Groceries,31/01/2019,1,20,-50
12654,Store_B,Groceries,11/13/2020,10,20,
43758,Store_A,Clothing,11/11/2019,3,20,200
34204,STORE_B,Home,11/3/2019,1,100,
44928,STORE_B,Eletronics,9/10/2020,-2,100,
63609,Store_B,Electronics,25/01/2020,10,10,200
40552,Store C,Groceries,1/7/2019,10,100,500
20336,store_a,Clothing,1/11/2019,5,-5,
57037,Store_B,Electronics,5/28/2020,2,20,100
26206,Store_B,Groceries,12/15/2019,2,100,-50
44831,store_a,Clothing,5/7/2019,3,50,200
53563,Store_B,Home,27/10/2019,5,,200
28361,Store_A,Clothing,5/14/2020,2,10,
51335,store_a,Groceries,4/19/2020,1,20,500
84469,Store_A,Home,6/7/2020,3,-5,500
35816,STORE_B,Eletronics,16/12/2019,5,-5,-50
25619,store_a,Clothing,8/12/2020,,20,-50
36819,store_a,Electronics,8/21/2019,1,-5,500
21741,Store C,Home,1/3/2019,2,50,500
18798,Store C,Home,19/11/2019,2,10,500
35143,store_a,Eletronics,1/2/2020,2,,
59695,STORE_B,Clothing,2/25/2019,2,10,100
